"subject" "activity" "variable" "mean(value)"
"subject18" "walking_upstairs" "tBodyAccMeanX" 0.265401201896552
"subject20" "standing" "tBodyAccMeanX" 0.278076904657534
"subject20" "sitting" "tBodyAccMeanX" 0.278045439090909
"subject20" "laying" "tBodyAccMeanX" 0.239507882205882
"subject20" "walking" "tBodyAccMeanX" 0.272589336470588
"subject20" "walking_downstairs" "tBodyAccMeanX" 0.296144421355556
"subject20" "walking_upstairs" "tBodyAccMeanX" 0.252098317156863
"subject24" "standing" "tBodyAccMeanX" 0.280348883913043
"subject24" "sitting" "tBodyAccMeanX" 0.273475690147059
"subject24" "laying" "tBodyAccMeanX" 0.272850494930556
"subject24" "walking" "tBodyAccMeanX" 0.276980816034483
"subject24" "walking_downstairs" "tBodyAccMeanX" 0.288631208909091
"subject24" "walking_upstairs" "tBodyAccMeanX" 0.269881106779661
"subject1" "standing" "tBodyAccMeanX" 0.278917629056604
"subject1" "sitting" "tBodyAccMeanX" 0.261237565425532
"subject1" "laying" "tBodyAccMeanX" 0.22159824394
"subject1" "walking" "tBodyAccMeanX" 0.277330758736842
"subject1" "walking_downstairs" "tBodyAccMeanX" 0.289188320408163
"subject1" "walking_upstairs" "tBodyAccMeanX" 0.255461689622641
"subject3" "standing" "tBodyAccMeanX" 0.280046513278689
"subject3" "sitting" "tBodyAccMeanX" 0.257197599134615
"subject3" "laying" "tBodyAccMeanX" 0.275516852741935
"subject3" "walking" "tBodyAccMeanX" 0.275567462068965
"subject3" "walking_downstairs" "tBodyAccMeanX" 0.292423484693878
"subject3" "walking_upstairs" "tBodyAccMeanX" 0.260819873067797
"subject5" "standing" "tBodyAccMeanX" 0.282544390892857
"subject5" "sitting" "tBodyAccMeanX" 0.273694139545455
"subject5" "laying" "tBodyAccMeanX" 0.278334325576923
"subject5" "walking" "tBodyAccMeanX" 0.27784234625
"subject5" "walking_downstairs" "tBodyAccMeanX" 0.29354392712766
"subject5" "walking_upstairs" "tBodyAccMeanX" 0.268459469914894
"subject6" "standing" "tBodyAccMeanX" 0.280346248596491
"subject6" "sitting" "tBodyAccMeanX" 0.276778487454545
"subject6" "laying" "tBodyAccMeanX" 0.248656520140351
"subject6" "walking" "tBodyAccMeanX" 0.283658868070175
"subject6" "walking_downstairs" "tBodyAccMeanX" 0.277045258145833
"subject6" "walking_upstairs" "tBodyAccMeanX" 0.268229355098039
"subject7" "standing" "tBodyAccMeanX" 0.282723539433962
"subject7" "sitting" "tBodyAccMeanX" 0.284674637291667
"subject7" "laying" "tBodyAccMeanX" 0.250176694038462
"subject7" "walking" "tBodyAccMeanX" 0.275592961754386
"subject7" "walking_downstairs" "tBodyAccMeanX" 0.28030708
"subject7" "walking_upstairs" "tBodyAccMeanX" 0.248706923078431
"subject8" "standing" "tBodyAccMeanX" 0.279620986111111
"subject8" "sitting" "tBodyAccMeanX" 0.267491472934783
"subject8" "laying" "tBodyAccMeanX" 0.261254282907407
"subject8" "walking" "tBodyAccMeanX" 0.27468631
"subject8" "walking_downstairs" "tBodyAccMeanX" 0.283484089210526
"subject8" "walking_upstairs" "tBodyAccMeanX" 0.258880152048781
"subject11" "standing" "tBodyAccMeanX" 0.277715562765957
"subject11" "sitting" "tBodyAccMeanX" 0.276590197358491
"subject11" "laying" "tBodyAccMeanX" 0.280592970877193
"subject11" "walking" "tBodyAccMeanX" 0.271821892881356
"subject11" "walking_downstairs" "tBodyAccMeanX" 0.291605631956522
"subject11" "walking_upstairs" "tBodyAccMeanX" 0.263775859277778
"subject14" "standing" "tBodyAccMeanX" 0.280545613833333
"subject14" "sitting" "tBodyAccMeanX" 0.279990577037037
"subject14" "laying" "tBodyAccMeanX" 0.233275439803922
"subject14" "walking" "tBodyAccMeanX" 0.271959598644068
"subject14" "walking_downstairs" "tBodyAccMeanX" 0.293422115555556
"subject14" "walking_upstairs" "tBodyAccMeanX" 0.26242106612963
"subject15" "standing" "tBodyAccMeanX" 0.278915803962264
"subject15" "sitting" "tBodyAccMeanX" 0.27290337979661
"subject15" "laying" "tBodyAccMeanX" 0.2894756525
"subject15" "walking" "tBodyAccMeanX" 0.273899207962963
"subject15" "walking_downstairs" "tBodyAccMeanX" 0.280198851190476
"subject15" "walking_upstairs" "tBodyAccMeanX" 0.270187595833333
"subject16" "standing" "tBodyAccMeanX" 0.283497402948718
"subject16" "sitting" "tBodyAccMeanX" 0.280768574492754
"subject16" "laying" "tBodyAccMeanX" 0.274227162571429
"subject16" "walking" "tBodyAccMeanX" 0.276023564509804
"subject16" "walking_downstairs" "tBodyAccMeanX" 0.295586802191489
"subject16" "walking_upstairs" "tBodyAccMeanX" 0.255986102627451
"subject17" "standing" "tBodyAccMeanX" 0.277942503333333
"subject17" "sitting" "tBodyAccMeanX" 0.2773570196875
"subject17" "laying" "tBodyAccMeanX" 0.269780085577465
"subject17" "walking" "tBodyAccMeanX" 0.272341855245902
"subject17" "walking_downstairs" "tBodyAccMeanX" 0.29391828326087
"subject17" "walking_upstairs" "tBodyAccMeanX" 0.252604768583333
"subject19" "standing" "tBodyAccMeanX" 0.27817226
"subject19" "sitting" "tBodyAccMeanX" 0.273830316164384
"subject19" "laying" "tBodyAccMeanX" 0.272653733493976
"subject19" "walking" "tBodyAccMeanX" 0.273931172307692
"subject19" "walking_downstairs" "tBodyAccMeanX" 0.262688053871795
"subject19" "walking_upstairs" "tBodyAccMeanX" 0.242118808925
"subject21" "standing" "tBodyAccMeanX" 0.27695224258427
"subject21" "sitting" "tBodyAccMeanX" 0.277539616823529
"subject21" "laying" "tBodyAccMeanX" 0.271325472455556
"subject21" "walking" "tBodyAccMeanX" 0.279183526730769
"subject21" "walking_downstairs" "tBodyAccMeanX" 0.3014610196
"subject21" "walking_upstairs" "tBodyAccMeanX" 0.265194544680851
"subject22" "standing" "tBodyAccMeanX" 0.279053861587302
"subject22" "sitting" "tBodyAccMeanX" 0.273583822709677
"subject22" "laying" "tBodyAccMeanX" 0.279959721194444
"subject22" "walking" "tBodyAccMeanX" 0.27886459
"subject22" "walking_downstairs" "tBodyAccMeanX" 0.284458963861111
"subject22" "walking_upstairs" "tBodyAccMeanX" 0.248391534566667
"subject23" "standing" "tBodyAccMeanX" 0.277899323235294
"subject23" "sitting" "tBodyAccMeanX" 0.273351251617647
"subject23" "laying" "tBodyAccMeanX" 0.274038007986111
"subject23" "walking" "tBodyAccMeanX" 0.273211884237288
"subject23" "walking_downstairs" "tBodyAccMeanX" 0.289897411148148
"subject23" "walking_upstairs" "tBodyAccMeanX" 0.249995171031373
"subject25" "standing" "tBodyAccMeanX" 0.278013701621622
"subject25" "sitting" "tBodyAccMeanX" 0.278541482461538
"subject25" "laying" "tBodyAccMeanX" 0.250791828613699
"subject25" "walking" "tBodyAccMeanX" 0.278992759054054
"subject25" "walking_downstairs" "tBodyAccMeanX" 0.291329666206897
"subject25" "walking_upstairs" "tBodyAccMeanX" 0.277995411384615
"subject26" "standing" "tBodyAccMeanX" 0.281127035405405
"subject26" "sitting" "tBodyAccMeanX" 0.258243530166667
"subject26" "laying" "tBodyAccMeanX" 0.271645864540789
"subject26" "walking" "tBodyAccMeanX" 0.279264443728814
"subject26" "walking_downstairs" "tBodyAccMeanX" 0.2792845828
"subject26" "walking_upstairs" "tBodyAccMeanX" 0.272691394545455
"subject27" "standing" "tBodyAccMeanX" 0.279566921625
"subject27" "sitting" "tBodyAccMeanX" 0.273941302571429
"subject27" "laying" "tBodyAccMeanX" 0.274102492432432
"subject27" "walking" "tBodyAccMeanX" 0.276849485438596
"subject27" "walking_downstairs" "tBodyAccMeanX" 0.2975441875
"subject27" "walking_upstairs" "tBodyAccMeanX" 0.265770253921569
"subject28" "standing" "tBodyAccMeanX" 0.277795069113924
"subject28" "sitting" "tBodyAccMeanX" 0.276977629444444
"subject28" "laying" "tBodyAccMeanX" 0.2759134825
"subject28" "walking" "tBodyAccMeanX" 0.281228223888889
"subject28" "walking_downstairs" "tBodyAccMeanX" 0.293642076521739
"subject28" "walking_upstairs" "tBodyAccMeanX" 0.262005841764706
"subject29" "standing" "tBodyAccMeanX" 0.277965065846154
"subject29" "sitting" "tBodyAccMeanX" 0.2771799775
"subject29" "laying" "tBodyAccMeanX" 0.287295196811594
"subject29" "walking" "tBodyAccMeanX" 0.271999916792453
"subject29" "walking_downstairs" "tBodyAccMeanX" 0.293140441083333
"subject29" "walking_upstairs" "tBodyAccMeanX" 0.265423066877551
"subject30" "standing" "tBodyAccMeanX" 0.277112699152542
"subject30" "sitting" "tBodyAccMeanX" 0.268336081379032
"subject30" "laying" "tBodyAccMeanX" 0.281033900571429
"subject30" "walking" "tBodyAccMeanX" 0.276406758
"subject30" "walking_downstairs" "tBodyAccMeanX" 0.283190646967742
"subject30" "walking_upstairs" "tBodyAccMeanX" 0.271415642261538
"subject2" "standing" "tBodyAccMeanY" -0.0184208270166667
"subject2" "sitting" "tBodyAccMeanY" -0.0156879937282609
"subject2" "laying" "tBodyAccMeanY" -0.0181587397583333
"subject2" "walking" "tBodyAccMeanY" -0.0185949199145763
"subject2" "walking_downstairs" "tBodyAccMeanY" -0.0226614158361702
"subject2" "walking_upstairs" "tBodyAccMeanY" -0.0214121132045833
"subject4" "standing" "tBodyAccMeanY" -0.00948911098553571
"subject4" "sitting" "tBodyAccMeanY" -0.007163065158
"subject4" "laying" "tBodyAccMeanY" -0.0150031841055556
"subject4" "walking" "tBodyAccMeanY" -0.0148399475341667
"subject4" "walking_downstairs" "tBodyAccMeanY" -0.00980200850666667
"subject4" "walking_upstairs" "tBodyAccMeanY" -0.0319804295729615
"subject9" "standing" "tBodyAccMeanY" -0.0200454954022222
"subject9" "sitting" "tBodyAccMeanY" -0.02701677698
"subject9" "laying" "tBodyAccMeanY" -0.020526821662
"subject9" "walking" "tBodyAccMeanY" -0.0180891971284423
"subject9" "walking_downstairs" "tBodyAccMeanY" -0.0203994269075476
"subject9" "walking_upstairs" "tBodyAccMeanY" -0.0195101099975714
"subject10" "standing" "tBodyAccMeanY" -0.0155418603409091
"subject10" "sitting" "tBodyAccMeanY" -0.015042681852037
"subject10" "laying" "tBodyAccMeanY" -0.024294484137931
"subject10" "walking" "tBodyAccMeanY" -0.017022351190566
"subject10" "walking_downstairs" "tBodyAccMeanY" -0.0200050770710526
"subject10" "walking_upstairs" "tBodyAccMeanY" -0.0143854920340426
"subject12" "standing" "tBodyAccMeanY" -0.0169002543196721
"subject12" "sitting" "tBodyAccMeanY" -0.0157892988523529
"subject12" "laying" "tBodyAccMeanY" -0.0175203917146667
"subject12" "walking" "tBodyAccMeanY" -0.015560927606
"subject12" "walking_downstairs" "tBodyAccMeanY" -0.018084266865793
"subject12" "walking_upstairs" "tBodyAccMeanY" -0.0263574903403846
"subject13" "standing" "tBodyAccMeanY" -0.0167891993964912
"subject13" "sitting" "tBodyAccMeanY" -0.00587732936326531
"subject13" "laying" "tBodyAccMeanY" -0.020440454366129
"subject13" "walking" "tBodyAccMeanY" -0.0185660651947368
"subject13" "walking_downstairs" "tBodyAccMeanY" -0.0143723839108511
"subject13" "walking_upstairs" "tBodyAccMeanY" -0.0277392253910909
"subject18" "standing" "tBodyAccMeanY" -0.0166353518150685
"subject18" "sitting" "tBodyAccMeanY" -0.0128691279736842
"subject18" "laying" "tBodyAccMeanY" -0.0173937684615385
"subject18" "walking" "tBodyAccMeanY" -0.0178023631866071
"subject18" "walking_downstairs" "tBodyAccMeanY" -0.0168666920221818
"subject18" "walking_upstairs" "tBodyAccMeanY" -0.0222060684378914
"subject20" "standing" "tBodyAccMeanY" -0.0180695049161644
"subject20" "sitting" "tBodyAccMeanY" -0.0147229305131818
"subject20" "laying" "tBodyAccMeanY" -0.0144406281132353
"subject20" "walking" "tBodyAccMeanY" -0.021199992245098
"subject20" "walking_downstairs" "tBodyAccMeanY" -0.00964120773155555
"subject20" "walking_upstairs" "tBodyAccMeanY" -0.0282258047588235
"subject24" "standing" "tBodyAccMeanY" -0.0144785340348986
"subject24" "sitting" "tBodyAccMeanY" -0.0131255097938235
"subject24" "laying" "tBodyAccMeanY" -0.0173555210111111
"subject24" "walking" "tBodyAccMeanY" -0.0225446400534483
"subject24" "walking_downstairs" "tBodyAccMeanY" -0.0145730348310909
"subject24" "walking_upstairs" "tBodyAccMeanY" -0.0251979434569492
"subject1" "standing" "tBodyAccMeanY" -0.0161375901037736
"subject1" "sitting" "tBodyAccMeanY" -0.00130828765170213
"subject1" "laying" "tBodyAccMeanY" -0.0405139534294
"subject1" "walking" "tBodyAccMeanY" -0.0173838185273684
"subject1" "walking_downstairs" "tBodyAccMeanY" -0.00991850461020408
"subject1" "walking_upstairs" "tBodyAccMeanY" -0.0239531492643396
"subject3" "standing" "tBodyAccMeanY" -0.0143376555065574
"subject3" "sitting" "tBodyAccMeanY" -0.00350299841730769
"subject3" "laying" "tBodyAccMeanY" -0.0189556785048387
"subject3" "walking" "tBodyAccMeanY" -0.0171767844203448
"subject3" "walking_downstairs" "tBodyAccMeanY" -0.0193554079328571
"subject3" "walking_upstairs" "tBodyAccMeanY" -0.0324109410555932
"subject5" "standing" "tBodyAccMeanY" -0.00700418554517857
"subject5" "sitting" "tBodyAccMeanY" -0.00990083527045455
"subject5" "laying" "tBodyAccMeanY" -0.0183042123269231
"subject5" "walking" "tBodyAccMeanY" -0.0172850317482679
"subject5" "walking_downstairs" "tBodyAccMeanY" -0.00850107533191489
"subject5" "walking_upstairs" "tBodyAccMeanY" -0.0325269755153191
"subject6" "standing" "tBodyAccMeanY" -0.0181236327175439
"subject6" "sitting" "tBodyAccMeanY" -0.0145911615290909
"subject6" "laying" "tBodyAccMeanY" -0.0102529170561404
"subject6" "walking" "tBodyAccMeanY" -0.0168954189082456
"subject6" "walking_downstairs" "tBodyAccMeanY" -0.019536840063125
"subject6" "walking_upstairs" "tBodyAccMeanY" -0.0272425385070588
"subject7" "standing" "tBodyAccMeanY" -0.0145740341037736
"subject7" "sitting" "tBodyAccMeanY" -0.01461097580375
"subject7" "laying" "tBodyAccMeanY" -0.0204411516884615
"subject7" "walking" "tBodyAccMeanY" -0.018653665345614
"subject7" "walking_downstairs" "tBodyAccMeanY" -0.0166332372978723
"subject7" "walking_upstairs" "tBodyAccMeanY" -0.0275639005607843
"subject8" "standing" "tBodyAccMeanY" -0.0148113067148148
"subject8" "sitting" "tBodyAccMeanY" -0.00672550621304348
"subject8" "laying" "tBodyAccMeanY" -0.0212281733881481
"subject8" "walking" "tBodyAccMeanY" -0.0186628865310417
"subject8" "walking_downstairs" "tBodyAccMeanY" -0.0211058674973684
"subject8" "walking_upstairs" "tBodyAccMeanY" -0.0282415136341463
"subject11" "standing" "tBodyAccMeanY" -0.0171990886595745
"subject11" "sitting" "tBodyAccMeanY" -0.0149195616754717
"subject11" "laying" "tBodyAccMeanY" -0.0176598052315789
"subject11" "walking" "tBodyAccMeanY" -0.0166475833623729
"subject11" "walking_downstairs" "tBodyAccMeanY" -0.0178097721219565
"subject11" "walking_upstairs" "tBodyAccMeanY" -0.0303157822055556
"subject14" "standing" "tBodyAccMeanY" -0.01520781344
"subject14" "sitting" "tBodyAccMeanY" -0.00870565463888889
"subject14" "laying" "tBodyAccMeanY" -0.0113424652490196
"subject14" "walking" "tBodyAccMeanY" -0.0217785380966102
"subject14" "walking_downstairs" "tBodyAccMeanY" -0.0200141413657778
"subject14" "walking_upstairs" "tBodyAccMeanY" -0.0204388180024074
"subject15" "standing" "tBodyAccMeanY" -0.0183516360396226
"subject15" "sitting" "tBodyAccMeanY" -0.0117188472271186
"subject15" "laying" "tBodyAccMeanY" -0.0166296542054167
"subject15" "walking" "tBodyAccMeanY" -0.0170809740090741
"subject15" "walking_downstairs" "tBodyAccMeanY" -0.00563047804309524
"subject15" "walking_upstairs" "tBodyAccMeanY" -0.0287523860708333
"subject16" "standing" "tBodyAccMeanY" -0.0165999672935897
"subject16" "sitting" "tBodyAccMeanY" -0.0102497939956522
"subject16" "laying" "tBodyAccMeanY" -0.0166103510562857
"subject16" "walking" "tBodyAccMeanY" -0.0204286929452941
"subject16" "walking_downstairs" "tBodyAccMeanY" -0.0183898583787234
"subject16" "walking_upstairs" "tBodyAccMeanY" -0.0143654945011765
"subject17" "standing" "tBodyAccMeanY" -0.0174120064169231
"subject17" "sitting" "tBodyAccMeanY" -0.014156274084375
"subject17" "laying" "tBodyAccMeanY" -0.0168462006729577
"subject17" "walking" "tBodyAccMeanY" -0.0184875403339344
"subject17" "walking_downstairs" "tBodyAccMeanY" -0.0167359404347826
"subject17" "walking_upstairs" "tBodyAccMeanY" -0.0228645614308333
"subject19" "standing" "tBodyAccMeanY" -0.0154244056945205
"subject19" "sitting" "tBodyAccMeanY" -0.016739260030137
"subject19" "laying" "tBodyAccMeanY" -0.0171426864421687
"subject19" "walking" "tBodyAccMeanY" -0.0191773587903846
"subject19" "walking_downstairs" "tBodyAccMeanY" -0.0145942275069487
"subject19" "walking_upstairs" "tBodyAccMeanY" -0.0303986615775
"subject21" "standing" "tBodyAccMeanY" -0.0167084730205618
"subject21" "sitting" "tBodyAccMeanY" -0.0144009705494118
"subject21" "laying" "tBodyAccMeanY" -0.0184233048415556
"subject21" "walking" "tBodyAccMeanY" -0.0181610317526923
"subject21" "walking_downstairs" "tBodyAccMeanY" -0.0173195390157778
"subject21" "walking_upstairs" "tBodyAccMeanY" -0.0237218695148936
"subject22" "standing" "tBodyAccMeanY" -0.0158563207496825
"subject22" "sitting" "tBodyAccMeanY" -0.0123468446419355
"subject22" "laying" "tBodyAccMeanY" -0.0142629864502778
"subject22" "walking" "tBodyAccMeanY" -0.0167213607957174
"subject22" "walking_downstairs" "tBodyAccMeanY" -0.0197999371686389
"subject22" "walking_upstairs" "tBodyAccMeanY" -0.0268622561133333
"subject23" "standing" "tBodyAccMeanY" -0.0177475547867647
"subject23" "sitting" "tBodyAccMeanY" -0.0133945015676471
"subject23" "laying" "tBodyAccMeanY" -0.0216553835833333
"subject23" "walking" "tBodyAccMeanY" -0.0183618711932203
"subject23" "walking_downstairs" "tBodyAccMeanY" -0.0162111457238889
"subject23" "walking_upstairs" "tBodyAccMeanY" -0.0323844029237255
"subject25" "standing" "tBodyAccMeanY" -0.0163569730274324
"subject25" "sitting" "tBodyAccMeanY" -0.0147696808030769
"subject25" "laying" "tBodyAccMeanY" -0.0188943663671233
"subject25" "walking" "tBodyAccMeanY" -0.0186477624716216
"subject25" "walking_downstairs" "tBodyAccMeanY" -0.0210170522987931
"subject25" "walking_upstairs" "tBodyAccMeanY" -0.0269863524264615
"subject26" "standing" "tBodyAccMeanY" -0.0166608306652703
"subject26" "sitting" "tBodyAccMeanY" -0.00713364541358974
"subject26" "laying" "tBodyAccMeanY" -0.0191895728026316
"subject26" "walking" "tBodyAccMeanY" -0.0154259586949153
"subject26" "walking_downstairs" "tBodyAccMeanY" -0.01262580966778
"subject26" "walking_upstairs" "tBodyAccMeanY" -0.0281633797398182
"subject27" "standing" "tBodyAccMeanY" -0.016593236445
"subject27" "sitting" "tBodyAccMeanY" -0.0155269799285714
"subject27" "laying" "tBodyAccMeanY" -0.0179867611216216
"subject27" "walking" "tBodyAccMeanY" -0.0166478783221912
"subject27" "walking_downstairs" "tBodyAccMeanY" -0.0135564467159091
"subject27" "walking_upstairs" "tBodyAccMeanY" -0.0200953324078431
"subject28" "standing" "tBodyAccMeanY" -0.0172635124672152
"subject28" "sitting" "tBodyAccMeanY" -0.0185404441258333
"subject28" "laying" "tBodyAccMeanY" -0.0167537858225
"subject28" "walking" "tBodyAccMeanY" -0.0156759722981481
"subject28" "walking_downstairs" "tBodyAccMeanY" -0.0220230465913043
"subject28" "walking_upstairs" "tBodyAccMeanY" -0.0279443943478431
"subject29" "standing" "tBodyAccMeanY" -0.0172605869061538
"subject29" "sitting" "tBodyAccMeanY" -0.016630680375
"subject29" "laying" "tBodyAccMeanY" -0.0171965484202899
"subject29" "walking" "tBodyAccMeanY" -0.0162915600588679
"subject29" "walking_downstairs" "tBodyAccMeanY" -0.01494121505625
"subject29" "walking_upstairs" "tBodyAccMeanY" -0.0299465312326531
"subject30" "standing" "tBodyAccMeanY" -0.0170163887813559
"subject30" "sitting" "tBodyAccMeanY" -0.00804731295322581
"subject30" "laying" "tBodyAccMeanY" -0.0194494098614286
"subject30" "walking" "tBodyAccMeanY" -0.0175880385730769
"subject30" "walking_downstairs" "tBodyAccMeanY" -0.0174383900204839
"subject30" "walking_upstairs" "tBodyAccMeanY" -0.0253311698786154
"subject2" "standing" "tBodyAccMeanZ" -0.105908536055556
"subject2" "sitting" "tBodyAccMeanZ" -0.109218272456522
"subject2" "laying" "tBodyAccMeanZ" -0.107245610416667
"subject2" "walking" "tBodyAccMeanZ" -0.105500357966102
"subject2" "walking_downstairs" "tBodyAccMeanZ" -0.116812942382979
"subject2" "walking_upstairs" "tBodyAccMeanZ" -0.152513899520833
"subject4" "standing" "tBodyAccMeanZ" -0.0961574905535714
"subject4" "sitting" "tBodyAccMeanZ" -0.10587459588
"subject4" "laying" "tBodyAccMeanZ" -0.110688150314815
"subject4" "walking" "tBodyAccMeanZ" -0.11140306485
"subject4" "walking_downstairs" "tBodyAccMeanZ" -0.1067775246
"subject4" "walking_upstairs" "tBodyAccMeanZ" -0.114219455519231
"subject9" "standing" "tBodyAccMeanZ" -0.0952747481333333
"subject9" "sitting" "tBodyAccMeanZ" -0.07537846886
"subject9" "laying" "tBodyAccMeanZ" -0.10754972144
"subject9" "walking" "tBodyAccMeanZ" -0.110820512307692
"subject9" "walking_downstairs" "tBodyAccMeanZ" -0.0910278793952381
"subject9" "walking_upstairs" "tBodyAccMeanZ" -0.125219003959184
"subject10" "standing" "tBodyAccMeanZ" -0.107964083931818
"subject10" "sitting" "tBodyAccMeanZ" -0.104253238796296
"subject10" "laying" "tBodyAccMeanZ" -0.117168642362069
"subject10" "walking" "tBodyAccMeanZ" -0.109057512132075
"subject10" "walking_downstairs" "tBodyAccMeanZ" -0.110848597247368
"subject10" "walking_upstairs" "tBodyAccMeanZ" -0.118180420834043
"subject12" "standing" "tBodyAccMeanZ" -0.105526999754098
"subject12" "sitting" "tBodyAccMeanZ" -0.106307228960784
"subject12" "laying" "tBodyAccMeanZ" -0.108160125666667
"subject12" "walking" "tBodyAccMeanZ" -0.10316110632
"subject12" "walking_downstairs" "tBodyAccMeanZ" -0.10955593226087
"subject12" "walking_upstairs" "tBodyAccMeanZ" -0.107339730115385
"subject13" "standing" "tBodyAccMeanZ" -0.112124137754386
"subject13" "sitting" "tBodyAccMeanZ" -0.0972465110836735
"subject13" "laying" "tBodyAccMeanZ" -0.104331864532258
"subject13" "walking" "tBodyAccMeanZ" -0.111431456192982
"subject13" "walking_downstairs" "tBodyAccMeanZ" -0.101993941531915
"subject13" "walking_upstairs" "tBodyAccMeanZ" -0.125767265890909
"subject18" "standing" "tBodyAccMeanZ" -0.108453355945205
"subject18" "sitting" "tBodyAccMeanZ" -0.111904775824561
"subject18" "laying" "tBodyAccMeanZ" -0.107698927907692
"subject18" "walking" "tBodyAccMeanZ" -0.104218315464286
"subject18" "walking_downstairs" "tBodyAccMeanZ" -0.1033908092
"subject18" "walking_upstairs" "tBodyAccMeanZ" -0.112655891327586
"subject20" "standing" "tBodyAccMeanZ" -0.100402759931507
"subject20" "sitting" "tBodyAccMeanZ" -0.108369634515152
"subject20" "laying" "tBodyAccMeanZ" -0.104274322538235
"subject20" "walking" "tBodyAccMeanZ" -0.113539477098039
"subject20" "walking_downstairs" "tBodyAccMeanZ" -0.104602925937778
"subject20" "walking_upstairs" "tBodyAccMeanZ" -0.121023947784314
"subject24" "standing" "tBodyAccMeanZ" -0.108222553855072
"subject24" "sitting" "tBodyAccMeanZ" -0.103041061426471
"subject24" "laying" "tBodyAccMeanZ" -0.107236237236111
"subject24" "walking" "tBodyAccMeanZ" -0.110595952913793
"subject24" "walking_downstairs" "tBodyAccMeanZ" -0.104818820272727
"subject24" "walking_upstairs" "tBodyAccMeanZ" -0.114248610966102
"subject1" "standing" "tBodyAccMeanZ" -0.110601817735849
"subject1" "sitting" "tBodyAccMeanZ" -0.104544182255319
"subject1" "laying" "tBodyAccMeanZ" -0.11320355358
"subject1" "walking" "tBodyAccMeanZ" -0.111148103547368
"subject1" "walking_downstairs" "tBodyAccMeanZ" -0.107566190908163
"subject1" "walking_upstairs" "tBodyAccMeanZ" -0.0973020020943396
"subject3" "standing" "tBodyAccMeanZ" -0.101621722633148
"subject3" "sitting" "tBodyAccMeanZ" -0.0983579203269231
"subject3" "laying" "tBodyAccMeanZ" -0.101300477506452
"subject3" "walking" "tBodyAccMeanZ" -0.112674859827586
"subject3" "walking_downstairs" "tBodyAccMeanZ" -0.116139842908163
"subject3" "walking_upstairs" "tBodyAccMeanZ" -0.110064863437288
"subject5" "standing" "tBodyAccMeanZ" -0.102171095696429
"subject5" "sitting" "tBodyAccMeanZ" -0.108540300265909
"subject5" "laying" "tBodyAccMeanZ" -0.107937603673077
"subject5" "walking" "tBodyAccMeanZ" -0.107741776464286
"subject5" "walking_downstairs" "tBodyAccMeanZ" -0.100319930659574
"subject5" "walking_upstairs" "tBodyAccMeanZ" -0.107471453914894
